id_unidad,clues,clave_presupuestal,nombre_corto,derechohabientes_primer_nivel,derechohabientes_segundo_nivel,derechohabientes_tercer_nivel
U_ISSSTE_227,GTIST000185,011-204-05,UMF Uriangato,"3,513",No aplica,No aplica
U_ISSSTE_228,GTIST000190,011-204-06,UMF Valle de Santiago,"11,221",No aplica,No aplica
U_ISSSTE_229,GTIST000202,011-204-07,UMF Yuriria,"6,205",No aplica,No aplica
U_ISSSTE_230,GTIST000243,011-204-08,UMF Cd. Manuel Doblado,"1,411",No aplica,No aplica
U_ISSSTE_231,GTIST000313,011-204-09,CAF Romita,"6,279",No aplica,No aplica
U_ISSSTE_232,GTIST000144,011-204-10,UMF San Francisco del Rincón,"8,777",No aplica,No aplica
U_ISSSTE_233,GTIST000325,011-205-00,CMF Salamanca,"23,981",No aplica,No aplica
U_ISSSTE_234,GTIST000074,011-206-00,"CH Guanajuato, Gto.","59,479","97,488",No aplica
U_ISSSTE_235,GTIST000062,011-206-01,UMF Dolores Hidalgo,"12,461",No aplica,No aplica
U_ISSSTE_236,GTIST000330,011-206-02,CAF San Diego de la Unión,"1,443",No aplica,No aplica
U_ISSSTE_237,GTIST000161,011-206-03,UMF San Luís de La Paz,"10,762",No aplica,No aplica
U_ISSSTE_238,GTIST000156,011-206-04,UMF San José Iturbide,"5,084",No aplica,No aplica
U_ISSSTE_239,GTIST000383,011-206-05,CAF Tierra Blanca,"1,491",No aplica,No aplica
U_ISSSTE_240,GTIST000395,011-206-06,UMF Villa Victoria,"2,684",No aplica,No aplica
U_ISSSTE_241,GTIST000272,011-206-07,CAF Dr. Mora,"1,583",No aplica,No aplica
U_ISSSTE_242,GTIST000412,011-206-08,CAF Xichú,554,No aplica,No aplica
U_ISSSTE_243,GTIST000301,011-206-09,CAF Ocampo,"1,040",No aplica,No aplica
U_ISSSTE_244,GTIST000132,011-206-10,UMF San Felipe Torres Mochas,"5,840",No aplica,No aplica
U_ISSSTE_245,GTIST000173,011-206-11,UMF Silao,"12,789",No aplica,No aplica
U_ISSSTE_246,GTIST000045,011-207-00,CH Celaya,"55,851","131,138",No aplica
U_ISSSTE_247,GTIST000021,011-207-01,UMF Acámbaro,"12,288",No aplica,No aplica
U_ISSSTE_248,GTIST000214,011-207-02,UMF Apaseo el Alto,"3,434",No aplica,No aplica
U_ISSSTE_249,GTIST000226,011-207-03,UMF Apaseo el Grande,"4,073",No aplica,No aplica
U_ISSSTE_250,GTIST000255,011-207-04,UMF Comonfort,"5,649",No aplica,No aplica
U_ISSSTE_251,GTIST000050,011-207-05,UMF Cortázar,"6,744",No aplica,No aplica
U_ISSSTE_252,GTIST000284,011-207-06,CAF Jaral del Progreso,"3,859",No aplica,No aplica
U_ISSSTE_253,GTIST000296,011-207-07,CAF Jerécuaro,"2,822",No aplica,No aplica
U_ISSSTE_254,GTIST000342,011-207-08,UMF Juventino Rosas,"5,943",No aplica,No aplica
U_ISSSTE_255,GTIST000231,011-207-09,CAF Roque,792,No aplica,No aplica
U_ISSSTE_256,GTIST000120,011-207-10,UMF Salvatierra,"10,211",No aplica,No aplica
U_ISSSTE_257,GTIST000033,011-207-11,UMF San Miguel de Allende,"10,973",No aplica,No aplica
U_ISSSTE_258,GTIST000354,011-207-12,CAF Santiago Maravatío,762,No aplica,No aplica
U_ISSSTE_259,GTIST000366,011-207-13,CAF Tarandacuao,"1,131",No aplica,No aplica
U_ISSSTE_260,GTIST000371,011-207-14,CAF Tarimoro,"2,082",No aplica,No aplica
U_ISSSTE_261,GTIST000400,011-207-15,UMF Villagrán,"4,524",No aplica,No aplica
U_ISSSTE_262,GTIST000423,011-209-00,CMFEQ León,"133,676","154,188",No aplica
U_ISSSTE_263,GRIST000112,012-205-00,CH Chilpancingo de los Bravo,"152,281","192,782",No aplica
U_ISSSTE_264,GRIST000100,012-205-01,UMF Chilapa de Álvarez,"16,525",No aplica,No aplica
U_ISSSTE_265,GRIST000450,012-205-02,UMF Mochitlán,"2,904",No aplica,No aplica
U_ISSSTE_266,GRIST000124,012-205-03,UMF El Ocotito,"1,963",No aplica,No aplica
U_ISSSTE_267,GRIST000182,012-205-04,UMF Olinalá,"2,176",No aplica,No aplica
U_ISSSTE_268,GRIST000170,012-205-05,UMF Tierra Colorada,"2,791",No aplica,No aplica
U_ISSSTE_269,GRIST000281,012-205-06,UMF Tixtla de Guerrero,"16,318",No aplica,No aplica
